id,Postcodes,locality,state,lat,long,Lat_precise,Long_precise
13788,5061,HYDE PARK,SA,-34.957195,138.60648,-34.955,138.6
13789,5061,MALVERN,SA,-34.957195,138.60648,-34.957222,138.614722
13790,5061,UNLEY,SA,-34.957195,138.60648,-34.95,138.6
13791,5061,UNLEY BC,SA,-34.957195,138.60648,-34.9484,138.601
13792,5061,UNLEY DC,SA,-34.957195,138.60648,-34.9511,138.607
13793,5061,UNLEY PARK,SA,-34.957195,138.60648,-34.961,138.6
13794,5062,BROWN HILL CREEK,SA,-35.004063,138.602387,-34.987,138.653
13795,5062,CLAPHAM,SA,-35.004063,138.602387,-34.99,138.603
13796,5062,HAWTHORN,SA,-35.004063,138.602387,-34.968,138.6
13797,5062,KINGSWOOD,SA,-35.004063,138.602387,-34.971,138.616
13798,5062,LOWER MITCHAM,SA,-35.004063,138.602387,-34.981111,138.605833
13799,5062,LYNTON,SA,-35.004063,138.602387,-34.998,138.609
13800,5062,MITCHAM,SA,-35.004063,138.602387,-34.987,138.625
13801,5062,MITCHAM SHOPPING CENTRE,SA,-35.004063,138.602387,-34.9753202,138.6103877
13802,5062,NETHERBY,SA,-35.004063,138.602387,-34.972,138.627
13803,5062,SPRINGFIELD,SA,-35.004063,138.602387,-34.978,138.631
13804,5062,TORRENS PARK,SA,-35.004063,138.602387,-34.986,138.616
13805,5063,EASTWOOD,SA,-34.954325,138.621477,-34.942,138.621
13806,5063,FREWVILLE,SA,-34.954325,138.621477,-34.947,138.63
13807,5063,FULLARTON,SA,-34.954325,138.621477,-34.951,138.629
13808,5063,HIGHGATE,SA,-34.954325,138.621477,-34.9623501,138.6226003
13809,5063,PARKSIDE,SA,-34.954325,138.621477,-34.944,138.613
13810,5064,GLEN OSMOND,SA,-34.963195,138.649183,-34.9600124,138.6501667
13811,5064,GLENUNGA,SA,-34.963195,138.649183,-34.951,138.639
13812,5064,MOUNT OSMOND,SA,-34.963195,138.649183,-34.963529,138.6614478
13813,5064,MYRTLE BANK,SA,-34.963195,138.649183,-34.959,138.636
13814,5064,ST GEORGES,SA,-34.963195,138.649183,-34.954,138.648
13815,5064,URRBRAE,SA,-34.963195,138.649183,-34.967,138.636
13816,5065,DULWICH,SA,-34.940362,138.633974,-34.936,138.63
13817,5065,GLENSIDE,SA,-34.940362,138.633974,-34.943,138.635
13818,5065,LINDEN PARK,SA,-34.940362,138.633974,-34.947,138.65
13819,5065,TOORAK GARDENS,SA,-34.940362,138.633974,-34.933,138.638
13820,5065,TUSMORE,SA,-34.940362,138.633974,-34.9360768,138.6476601
13821,5066,BEAUMONT,SA,-34.940962,138.66029,-34.951,138.661
13822,5066,BURNSIDE,SA,-34.940962,138.66029,-34.939,138.666
13823,5066,ERINDALE,SA,-34.940962,138.66029,-34.928,138.662
13824,5066,HAZELWOOD PARK,SA,-34.940962,138.66029,-34.939,138.657
13825,5066,STONYFELL,SA,-34.940962,138.66029,-34.935,138.678
13826,5066,WATERFALL GULLY,SA,-34.940962,138.66029,-34.96,138.676
13827,5066,WATTLE PARK,SA,-34.940962,138.66029,-34.927812,138.677073
13828,5067,BEULAH PARK,SA,-34.919985,138.630575,-34.919,138.643
13829,5067,KENT TOWN,SA,-34.919985,138.630575,-34.920278,138.619167
13830,5067,NORWOOD,SA,-34.919985,138.630575,-34.923,138.633
13831,5067,NORWOOD SOUTH,SA,-34.919985,138.630575,-34.923,138.633
13832,5067,ROSE PARK,SA,-34.919985,138.630575,-34.93072,138.62798
13833,5068,HEATHPOOL,SA,-34.922605,138.654999,-34.931,138.648
13834,5068,KENSINGTON,SA,-34.922605,138.654999,-34.924,138.645
13835,5068,KENSINGTON GARDENS,SA,-34.922605,138.654999,-34.9177203,138.6614478
13836,5068,KENSINGTON PARK,SA,-34.922605,138.654999,-34.9208593,138.6551802
13837,5068,LEABROOK,SA,-34.922605,138.654999,-34.93,138.651
